dma_boundary UniqueID,Latitude,Longitude,point_order,sub_polygon_id,Media Market
200,31.8446,-91.3447,52,1,"Monroe, LA-El Dorado, AR"
200,31.7608,-91.3656,53,1,"Monroe, LA-El Dorado, AR"
200,31.7521,-91.2656,54,1,"Monroe, LA-El Dorado, AR"
200,31.7469,-91.3694,55,1,"Monroe, LA-El Dorado, AR"
200,31.6205,-91.4008,56,1,"Monroe, LA-El Dorado, AR"
200,31.6288,-91.5162,57,1,"Monroe, LA-El Dorado, AR"
200,31.5898,-91.4039,58,1,"Monroe, LA-El Dorado, AR"
200,31.5221,-91.5225,59,1,"Monroe, LA-El Dorado, AR"
200,31.3752,-91.4679,60,1,"Monroe, LA-El Dorado, AR"
200,31.4105,-91.5763,61,1,"Monroe, LA-El Dorado, AR"
200,31.2782,-91.5156,62,1,"Monroe, LA-El Dorado, AR"
200,31.2537,-91.6547,63,1,"Monroe, LA-El Dorado, AR"
200,31.039,-91.5644,64,1,"Monroe, LA-El Dorado, AR"
200,30.9704,-91.6625,65,1,"Monroe, LA-El Dorado, AR"
200,31.0356,-91.6479,66,1,"Monroe, LA-El Dorado, AR"
200,31.0443,-91.7238,67,1,"Monroe, LA-El Dorado, AR"
200,31.2001,-91.6882,68,1,"Monroe, LA-El Dorado, AR"
200,31.2968,-91.9089,69,1,"Monroe, LA-El Dorado, AR"
200,31.2252,-91.9906,70,1,"Monroe, LA-El Dorado, AR"
200,31.2817,-92.0222,71,1,"Monroe, LA-El Dorado, AR"
199,26.6003,-97.3002,1,12,"Corpus Christi, TX"
199,26.6249,-97.3338,2,12,"Corpus Christi, TX"
199,26.695,-97.3481,3,12,"Corpus Christi, TX"
199,26.6532,-97.3155,4,12,"Corpus Christi, TX"
199,26.6003,-97.3002,5,12,"Corpus Christi, TX"
199,26.9695,-97.4728,1,11,"Corpus Christi, TX"
199,27.0023,-97.4781,2,11,"Corpus Christi, TX"
199,27.0027,-97.4545,3,11,"Corpus Christi, TX"
199,26.9893,-97.4531,4,11,"Corpus Christi, TX"
199,26.9695,-97.4728,5,11,"Corpus Christi, TX"
199,27.1154,-97.4444,1,10,"Corpus Christi, TX"
199,27.1253,-97.452,2,10,"Corpus Christi, TX"
199,27.1269,-97.4469,3,10,"Corpus Christi, TX"
199,27.1522,-97.4438,4,10,"Corpus Christi, TX"
199,27.1154,-97.4444,5,10,"Corpus Christi, TX"
199,26.6004,-97.2879,1,9,"Corpus Christi, TX"
199,26.862,-97.3939,2,9,"Corpus Christi, TX"
199,27.2051,-97.3899,3,9,"Corpus Christi, TX"
199,27.3722,-97.358,4,9,"Corpus Christi, TX"
199,27.5865,-97.2265,5,9,"Corpus Christi, TX"
199,27.6575,-97.2599,6,9,"Corpus Christi, TX"
199,27.6137,-97.2032,7,9,"Corpus Christi, TX"
199,27.101,-97.377,8,9,"Corpus Christi, TX"
199,26.6004,-97.2879,9,9,"Corpus Christi, TX"
199,27.6153,-97.2016,1,8,"Corpus Christi, TX"
199,27.6851,-97.1961,2,8,"Corpus Christi, TX"
199,27.6883,-97.1801,3,8,"Corpus Christi, TX"
199,27.6756,-97.1649,4,8,"Corpus Christi, TX"
199,27.6153,-97.2016,5,8,"Corpus Christi, TX"
199,27.6764,-97.1643,1,7,"Corpus Christi, TX"
199,27.6959,-97.1837,2,7,"Corpus Christi, TX"
199,27.7322,-97.1659,3,7,"Corpus Christi, TX"
199,27.7373,-97.1371,4,7,"Corpus Christi, TX"
199,27.8286,-97.0686,5,7,"Corpus Christi, TX"
199,27.8317,-97.1054,6,7,"Corpus Christi, TX"
199,27.8346,-97.0447,7,7,"Corpus Christi, TX"
199,27.6764,-97.1643,8,7,"Corpus Christi, TX"
199,27.8424,-97.0758,1,6,"Corpus Christi, TX"
199,27.8524,-97.0872,2,6,"Corpus Christi, TX"
199,27.8632,-97.0808,3,6,"Corpus Christi, TX"
199,27.8463,-97.0608,4,6,"Corpus Christi, TX"
199,27.8424,-97.0758,5,6,"Corpus Christi, TX"
199,27.8935,-97.1379,1,5,"Corpus Christi, TX"
199,27.8943,-97.1409,2,5,"Corpus Christi, TX"
199,27.8995,-97.1383,3,5,"Corpus Christi, TX"
