name,pop,lat,lon,count,percent
North Miami,62139,25.9008,-80.1686,1,0.01%
Petaluma,60530,38.2423,-122.6267,1,0.01%
West Allis,60087,43.0068,-88.0296,1,0.01%
La Mesa,59948,32.7703,-117.0203,1,0.01%
San Rafael,58954,37.9905,-122.5222,1,0.01%
Dubuque,58531,42.5007,-90.7064,1,0.01%
Bowie,58393,38.9577,-76.7421,1,0.01%
Santee,57834,32.8555,-116.9848,1,0.01%
Castle Rock,57666,39.3761,-104.8536,1,0.01%
Smyrna,56664,33.864,-84.5169,1,0.01%
Sarasota,56610,27.3391,-82.5439,1,0.01%
Greenwood,56545,39.6019,-86.1073,1,0.01%
Berwyn,55748,41.8433,-87.7909,1,0.01%
Hempstead,55555,40.7043,-73.6193,1,0.01%
Richland,54989,46.2828,-119.2939,1,0.01%
Casa Grande,54534,32.907,-111.7623,1,0.01%
West Haven,54516,41.2738,-72.9669,1,0.01%
Wheaton,53389,41.856,-88.1083,1,0.01%
Revere,53157,42.4188,-71.004,1,0.01%
Caldwell,53149,43.6458,-116.6595,1,0.01%
Palm Desert,52231,33.7378,-116.3696,1,0.01%
Placentia,52228,33.8807,-117.8553,1,0.01%
Elkhart,52221,41.6919,-85.962,1,0.01%
Grapevine,51971,32.9343,-97.0744,1,0.01%
Edina,51350,44.8913,-93.3602,1,0.01%
Galveston,50550,29.2487,-94.891,1,0.01%
Poway,50077,32.9872,-117.0201,1,0.01%
La Mirada,49216,33.9025,-118.0093,1,0.01%
Saginaw,48984,43.4199,-83.95,1,0.01%
Dunwoody,48884,33.9418,-84.3123,1,0.01%
Middletown,48813,39.5032,-84.3659,1,0.01%
Mishawaka,48679,41.6733,-86.1667,1,0.01%
Ceres,48278,37.5954,-120.9624,1,0.01%
Huntington,48113,38.4109,-82.4344,1,0.01%
Wauwatosa,47945,43.0616,-88.0347,1,0.01%
Kannapolis,47839,35.4766,-80.6391,1,0.01%
Lacey,47688,47.0444,-122.7933,1,0.01%
Chesterfield,47659,38.6588,-90.5805,1,0.01%
Glenview,47475,42.0825,-87.8215,1,0.01%
Hattiesburg,46926,31.3073,-89.3169,1,0.01%
Elmhurst,46387,41.8973,-87.9432,1,0.01%
Littleton,46333,39.5912,-105.0193,1,0.01%
Titusville,46019,28.5725,-80.8193,1,0.01%
Cleveland Heights,44633,41.5112,-81.5636,1,0.01%
Morgan Hill,44155,37.1324,-121.641,1,0.01%
Bountiful,44078,40.8722,-111.8647,1,0.01%
North Miami Beach,43891,25.9302,-80.166,1,0.01%
"York, PA",43859,39.9651,-76.7315,1,0.01%
Jefferson City,43013,38.5677,-92.1757,1,0.01%
San Bruno,42957,37.6254,-122.4313,1,0.01%
Prescott,42513,34.5799,-112.4476,1,0.01%
Little Elm,42504,33.1792,-96.9284,1,0.01%
Moline,42250,41.4825,-90.4917,1,0.01%
Ormond Beach,42162,29.2951,-81.0999,1,0.01%
Mankato,41720,44.172,-93.9782,1,0.01%
Coppell,41360,32.9639,-96.9907,1,0.01%
Buffalo Grove,41346,42.1673,-87.9615,1,0.01%
Covington,40797,39.0334,-84.5166,1,0.01%
Wilkes-Barre,40569,41.2468,-75.8759,1,0.01%
La Puente,40377,34.0323,-117.9533,1,0.01%
Maplewood,40150,44.984,-93.0247,1,0.01%
Wake Forest,40112,35.963,-78.5144,1,0.01%
Apache Junction,39954,33.3982,-111.5349,1,0.01%
Cape Girardeau,39628,37.3107,-89.5595,1,0.01%
Schertz,39453,29.5652,-98.2541,1,0.01%
Westerville,38985,40.1241,-82.9205,1,0.01%
Montclair,38944,34.0714,-117.6981,1,0.01%
Spanish Fork,38861,40.11,-111.6407,1,0.01%
Atlantic City,38735,39.3795,-74.4524,1,0.01%
Muskegon,38349,43.228,-86.256,1,0.01%
Martinez,38259,37.9985,-122.116,1,0.01%
Lynnwood,38092,47.8285,-122.3034,1,0.01%
