year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2000,4,30,New Hampshire,578656,890622
2000,12,31,New Jersey,3293378,5601788
2000,66,32,New Mexico,615607,1234088
2000,13,33,New York,6960215,12380208
2000,47,34,North Carolina,3015964,5744241
2000,36,35,North Dakota,292249,477968
2000,24,36,Ohio,4795989,8295592
2000,53,37,Oklahoma,NA,2475220
2000,72,38,Oregon,1559215,2364402
2000,14,39,Pennsylvania,NA,9086897
2000,5,40,Rhode Island,412074,753877
2000,48,41,South Carolina,1433533,2944326
2000,37,42,South Dakota,322159,548498
2000,54,43,Tennessee,2100241,4162996
2000,49,44,Texas,6407637,13033081
2000,67,45,Utah,784582,1431668
2000,6,46,Vermont,297146,459174
2000,40,47,Virginia,2789808,5069265
2000,73,48,Washington,2517028,4098044
2000,56,49,West Virginia,NA,1390365
2000,25,50,Wisconsin,NA,3842044
2000,68,51,Wyoming,221685,361078
1998,0,0,United States,74825832,190419570
1998,41,1,Alabama,NA,3202052
1998,81,2,Alaska,227156,408758
1998,61,3,Arizona,1037550,3232815
1998,42,4,Arkansas,NA,1882181
1998,71,5,California,8617649,19264556
1998,62,6,Colorado,NA,2879973
1998,1,7,Connecticut,1022453,2340956
1998,11,8,Delaware,NA,540896
1998,55,9,District of Columbia,137523,398318
1998,43,10,Florida,4070262,10590870
1998,44,11,Georgia,1842145,5326337
1998,82,12,Hawaii,412520,832172
1998,63,13,Idaho,386720,843914
1998,21,14,Illinois,3541379,8285614
1998,22,15,Indiana,1618689,4348730
1998,31,16,Iowa,973032,2112132
1998,32,17,Kansas,743288,1873438
1998,51,18,Kentucky,1215053,2930780
1998,45,19,Louisiana,990243,3097660
1998,2,20,Maine,NA,943577
1998,52,21,Maryland,1556994,3571087
1998,3,22,Massachusetts,1935277,4430939
1998,23,23,Michigan,3143432,7005306
1998,33,24,Minnesota,2105343,3378089
1998,46,25,Mississippi,NA,1995283
1998,34,26,Missouri,NA,3978146
1998,64,27,Montana,338733,653998
1998,35,28,Nebraska,581775,1197953
1998,65,29,Nevada,440042,1233386
1998,4,30,New Hampshire,330555,878508
1998,12,31,New Jersey,1894496,5505229
1998,66,32,New Mexico,517355,1199320
1998,13,33,New York,4989877,12263356
1998,47,34,North Carolina,NA,5624292
1998,36,35,North Dakota,217584,475629
1998,24,36,Ohio,3534782,8237516
1998,53,37,Oklahoma,NA,2415036
1998,72,38,Oregon,1160400,2370381
1998,14,39,Pennsylvania,NA,9075961
